業種番号,業種,業種説明
1,　農業,農業とは、植物や動物を育て、その産物を収穫することを主な業務とする業種です。具体的には、穀物、野菜、果物、花などの植物を栽培したり、牛や豚、鶏などの家畜を飼育したりします。また、これらの産物を加工することも含まれます。日本の農業は、米や野菜、果物、茶などの栽培が主流で、地域や季節によって生産する作物が異なります。また、農業は食糧供給の基盤であり、地域の風景形成や環境保全にも大きな役割を果たしています。
2,　林業,"林業とは、森林を利用し、管理し、保全するための一連の活動を行う業種を指します。具体的には、木材の生産、伐採、運搬、植林などが主な業務となります。また、森林の維持管理による環境保全や、森林からの生物多様性の保護も重要な役割となっています。

林業は、建築材や家具、紙パルプなどの原料を提供するだけでなく、二酸化炭素の吸収による地球温暖化防止や、土砂災害の防止、水源涵養林としての役割など、社会全体に対する貢献も大きい業種です。"
3,　漁業（水産養殖業を除く）,"漁業とは、海や川などの自然環境で魚や貝、海藻などの水産物を捕獲する業種を指します。具体的には、漁船を使って海洋漁業を行ったり、川や湖での内水面漁業を行ったりします。また、深海での大型漁船による遠洋漁業も含まれます。

ただし、あなたが指摘した通り、水産養殖業は除かれます。水産養殖業とは、人工的に魚や貝、海藻などの生育環境を整え、それらを育てて収穫する業種を指します。これは自然環境での捕獲ではなく、人間が管理・操作する環境での生産活動となるため、漁業とは区別されます。"
4,　水産養殖業,"水産養殖業とは、海や川、湖などの水域を利用して魚や貝、海藻などの水産生物を人工的に育て、収穫する業種のことを指します。具体的には、鮭やヒラメ、カキやノリなどの養殖が主な業務となります。

この業界は、自然環境の変化や資源の枯渇による漁獲量の減少に対応するため、また、安定した品質と供給量を確保するために重要な役割を果たしています。また、養殖技術の進歩により、種類や品質、生産量などをコントロールすることが可能となり、消費者のニーズに応じた商品の提供が可能となっています。"
5,　鉱業，採石業，砂利採取業,"鉱業、採石業、砂利採取業は、地下資源を採取・掘削する業種を指します。

1. 鉱業: 鉱業は、地下から鉱石を採掘する業種です。鉱石には金、銀、銅、鉄、亜鉛、鉛などの金属鉱石や、石炭、石油、天然ガスなどのエネルギー資源が含まれます。これらの資源は、さまざまな産業で使用され、生活にも欠かせない存在です。

2. 採石業: 採石業は、建築資材として使われる石材を採取する業種です。石灰石、花崗岩、大理石などの天然石を採掘し、建築や公共工事、道路建設などに使用されます。

3. 砂利採取業: 砂利採取業は、砂や砂利を採取する業種です。これらは主に建設業で使用され、コンクリートの原料や道路の舗装材料として利用されます。

これらの業種は、私たちの生活を支える基盤となる資源を供給する重要な役割を果たしています。"
6,　総合工事業,"総合工事業とは、建築工事や土木工事など、さまざまな種類の工事を手がける業種を指します。具体的には、建築物の設計や施工、改修、解体などを行う建築工事、道路や橋梁、ダム、トンネルなどの公共施設の建設や改修を行う土木工事、さらには電気設備や水道設備などの設備工事、内装工事、外構工事など、幅広い工事を一手に引き受けることができます。

これらの工事を一括して行うことで、工事全体のスケジュール管理や品質管理を一元化し、効率的な工事進行やコスト削減を実現することが可能となります。また、クライアント側も一つの会社とのやり取りで全ての工事を進行できるため、手間が省けるというメリットもあります。"
7,　職別工事業(設備工事業を除く),"職別工事業とは、建築工事の一部分を専門的に行う業種を指します。設備工事業を除くという制約があるため、主に以下のような工事を行う業者を指します。

1. 配管工事業：水道やガスなどの配管工事を行います。
2. 電気工事業：電気設備の設置や修理を行います。
3. 塗装工事業：建物の内外装の塗装を行います。
4. タイル・レンガ・ブロック工事業：建物の内外装にタイルやレンガ、ブロックを施工します。
5. 工作物取付工事業：建築物にエレベーターやエスカレーターなどの工作物を取り付けます。

これらの業者は、一般的な建築工事業者とは異なり、特定の分野に特化しているため、その分野における専門知識や技術を持っています。そのため、建築物の品質向上や工事の効率化に大いに貢献しています。"
8,　設備工事業,"設備工事業は、建築物や土木構造物における各種設備の設置、修理、保守を行う業種を指します。具体的には、電気設備、空調設備、給排水設備、ガス設備、通信設備などの設置やメンテナンスを行います。

これらの設備は、ビルやマンション、工場、オフィス、店舗などの建物の快適性や機能性を保つために必要不可欠なものであり、その設置や維持管理を専門的に行うのが設備工事業者です。また、新築時だけでなく、既存の建物のリニューアルや改修時にも重要な役割を果たします。"
9,　食料品製造業,"食料品製造業とは、食品や飲料を製造・加工する業種のことを指します。具体的には、肉や魚、野菜、果物などの原材料を加工して、食品製品を作り出す業務を行います。また、製パン、製菓、乳製品の製造、酒類やソフトドリンクの製造なども含まれます。

この業種では、食品衛生法や食品表示法などの法律に基づき、製品の安全性や品質管理に細心の注意を払う必要があります。また、新製品の開発や既存製品の改良など、消費者のニーズに応えるための研究開発も重要な業務となっています。"
10,　飲料・たばこ・飼料製造業,"飲料・たばこ・飼料製造業は、その名の通り、飲料やたばこ、飼料を製造する業種を指します。

まず、飲料製造業は、アルコール飲料（ビール、日本酒、焼酎、ウイスキーなど）から、ソフトドリンク（炭酸飲料、果汁飲料、コーヒー、お茶など）まで、さまざまな飲料を製造する業種です。製造工程は、原料の選定、調合、加工、瓶詰め、パッケージングなどが含まれます。

次に、たばこ製造業は、たばこ製品を製造する業種で、原料のたばこ葉を選定し、乾燥、刻み、加工、包装するなどの工程を経て製品として市場に出します。日本では、日本たばこ産業（JT）が主要な製造業者となっています。

最後に、飼料製造業は、家畜やペットの食事となる飼料を製造する業種です。穀物、肉類、魚類、野菜などの原料を適切に調合し、加工して製品化します。飼料の種類や成分は、対象となる動物の種類や成長段階によって異なります。

これらの業種は、私たちの生活に密接に関わる商品を提供しており、食品衛生法や酒税法、たばこ事業法など、各種の法律や規制に基づいて運営されています。"
